75,Title075,1994,Country075,06/16/05,104,Description075,Title075
76,Title076,1995,Country076,06/17/05,105,Description076,Title076
77,Title077,1996,Country077,06/18/05,106,Description077,Title077
78,Title078,1997,Country078,06/19/05,107,Description078,Title078
79,Title079,1998,Country079,06/20/05,108,Description079,Title079
80,Title080,1999,Country080,06/21/05,109,Description080,Title080
81,Title081,2000,Country081,06/22/05,110,Description081,Title081
82,Title082,2001,Country082,06/23/05,111,Description082,Title082
83,Title083,2002,Country083,06/24/05,112,Description083,Title083
84,Title084,2003,Country084,06/25/05,113,Description084,Title084
85,Title085,2004,Country085,06/26/05,114,Description085,Title085
86,Title086,2005,Country086,06/27/05,115,Description086,Title086
87,Title087,2006,Country087,06/28/05,116,Description087,Title087
88,Title088,2007,Country088,06/29/05,117,Description088,Title088
89,Title089,2008,Country089,06/30/05,118,Description089,Title089
90,Title090,2009,Country090,07/01/05,119,Description090,Title090
91,Title091,2010,Country091,07/02/05,120,Description091,Title091
92,Title092,2011,Country092,07/03/05,121,Description092,Title092
93,Title093,2012,Country093,07/04/05,122,Description093,Title093
94,Title094,2013,Country094,07/05/05,123,Description094,Title094
95,Title095,2014,Country095,07/06/05,124,Description095,Title095
96,Title096,2015,Country096,07/07/05,125,Description096,Title096
97,Title097,2016,Country097,07/08/05,126,Description097,Title097
98,Title098,2017,Country098,07/09/05,127,Description098,Title098
99,Title099,2018,Country099,07/10/05,128,Description099,Title099
100,Title100,2019,Country100,07/11/05,129,Description100,Title100
